,certificate,property_condition,furnishing,city,lat,long,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,maid_bedrooms,maid_bathrooms,floors,garages,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
59,shm - sertifikat hak milik,bagus,unfurnished, Bogor,-6.4769375,106.7880935,2.0,1.0,105.0,45.0,1,0,0,1.0,1,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.4213209,106.885539,3.0,2.0,119.0,90.0,0,0,0,1.0,1,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,shm - sertifikat hak milik,baru,semi furnished, Jakarta Utara,-6.1024783,106.7411903,4.0,4.0,300.0,700.0,0,1,1,3.0,0,7700.0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"lainnya (ppjb,girik,adat,dll)",baru,unfurnished, Tangerang,-6.3007333,106.586126,5.0,7.0,300.0,480.0,0,2,2,3.0,2,16500.0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,shm - sertifikat hak milik,bagus,unfurnished, Bekasi,-6.363929,106.9250756,2.0,1.0,90.0,70.0,1,0,0,1.0,0,2200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.3723065,106.818092,3.0,3.0,96.0,75.0,1,1,0,2.0,0,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,shm - sertifikat hak milik,baru,unfurnished, Tangerang,-6.3007333,106.586126,3.0,3.0,84.0,126.0,0,0,0,3.0,0,2200.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,shm - sertifikat hak milik,bagus,unfurnished, Depok,-6.3663035,106.7796109,3.0,3.0,112.0,180.0,0,0,0,2.0,1,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,shm - sertifikat hak milik,bagus,unfurnished, Bogor,-6.6068275,106.763125,3.0,2.0,116.0,85.0,1,1,0,1.0,1,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,shm - sertifikat hak milik,bagus,unfurnished, Tangerang,-6.2368145,106.566375,2.0,2.0,253.0,138.0,2,1,0,2.0,0,3500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,shm - sertifikat hak milik,baru,unfurnished, Bekasi,-6.292665,107.0274099,2.0,1.0,70.0,41.0,1,0,0,1.0,0,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,shm - sertifikat hak milik,bagus,semi furnished, Bekasi,-6.1817523,106.9736839,4.0,3.0,105.0,100.0,0,0,0,2.0,0,2200.0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,shm - sertifikat hak milik,bagus,unfurnished, Bekasi,-6.1800099,107.0054386,2.0,1.0,60.0,45.0,1,0,0,1.0,1,450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,shm - sertifikat hak milik,baru,unfurnished, Bogor,-6.381012,106.9620255,4.0,4.0,300.0,381.0,2,1,1,3.0,2,3500.0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,shm - sertifikat hak milik,sudah renovasi,semi furnished, Tangerang,-6.2623791,106.5220235,4.0,3.0,200.0,240.0,2,0,0,2.0,0,3300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,shm - sertifikat hak milik,baru,semi furnished, Bogor,-6.5757455,106.7608894,3.0,2.0,94.0,96.0,1,0,0,1.0,0,2200.0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,shm - sertifikat hak milik,bagus,unfurnished, Bekasi,-6.363929,106.9250756,2.0,2.0,105.0,90.0,0,1,0,2.0,1,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
